Lexical simplification	Syntactic Simplification
جس کا کوئی  لڑکا دوست نہ تھا۔	جس کا کوئی  لڑکا دوست نہ تھا۔
الکشن ہونے کا اعلان ہو چکا تھا۔	الکشن کا اعلان ہو چکا تھا۔
وہ پندرہ دن سے اپنی فائل لئے اوپرسے ٹکٹ حاصل کرنے کے لئے کوشیش کر رہا تھا۔	وہ اپنی فائل لئے  ٹکٹ حاصل کرنے کے لئے کوشیش کر رہا تھا۔
اعلی کمان تک رسائی ہوئی تو فائل کو پڑھا گیا ۔	اعلی کمان تک رسائی ہوئی تو فائل کو پڑھا گیا ۔
تم کہاں رہتے ہو, 	تم کہاں رہتے ہو 
سر۔ میں ڈول پور میں۔	میں ڈول پور میں۔
لیکن تم نے لکھا ہے کہ میں الیکشن گول پور سے لڑنا چاہتا ہوں۔	تم نے لکھا ہے کہ میں الیکشن گول پور سے لڑنا چاہتا ہوں۔
 جی سر	 جی سر
کیوں بھلا	کیوں بھلا
سر وہاں سے الیکشن میں کامیاب  ہونا میرے لئے زیادہ آسان ہے۔	سر وہاں سے کامیاب ہونا میرے لئےآسان ہے۔
مجھے پوری امید ہے کہ میں وہاں سے زیادہ ووٹوں سے کامیاب ہو جاؤں گا۔	امید ہے کہ میں زیادہ ووٹوں سے کامیاب ہو جاؤں گا۔
 لیکن اپنےوطن ڈول پور سے کیوں نہیں۔	 لیکن اپنےوطن ڈول پور سے کیوں نہیں لڑنا چاھتےہو۔
سر وہاں کے لوگ مجھے اچھی طرح جانتے اور پہچانتے ہیں۔	سر وہاں کے لوگ مجھے اچھی طرح پہچانتے ہیں
وہ شہر مسلسل پندرہ دن تک نفرت کی آگ میں جلتا رہا۔	وہ شہر مسلسل نفرت کی آگ میں جلتا رہا۔
روزانہ پولس کا پہرہ ,گھر سے باہر نکلنے پرپابندی اور پھر شہر کے کسی طرف  سے اٹھتا ہو ا دھواں۔	روزانہ پولس کا پہرہ  اور پھر شہر کے کسی طرف  سے اٹھتا ہو ا دھواں۔
اٹھتے ہوئے شعلے۔	بھڑکتے ہوئے شعلے۔
گولیوں کی آوازیں۔	گولیوں کی آوازیں۔ 
بچوں اور عورتوں کی چیخیں خاموشی میں دور تک سنائی دیتی تھیں۔	بچوں اور عورتوں کی چیخیں دور تک سنائی دیتی تھی۔
پندرہ دن بعد جب جنگ ختم ہویئ اور زندگی معمول پر آ گئی تو بچوں نے اپنے اسکول کے بیگ نکالے۔	پندرہ دن بعد جب جنگ ختم ہویئ تو بچوں نے اپنے اسکول کے بیگ نکالے۔
بڑی بہن نے چھوٹے بھائی سے کہا "پڑھو"	بہن نے چھوٹے بھائی سے کہا "پڑھو"
بچہ نے پہلی جماعت کی کتاب نکالی اور اپنی تو تلی زبان میں پڑھنے لگا۔	بچہ تو تلی زبان میں پڑھنے لگا۔
الف سے آگ۔ ب سے بندوت۔ پ سے پولت۔ ت سے تینشن!	الف سے آگ۔ ب سے بندوت۔ پ سے پولت۔ ت سے تینشن
آج مولانا نے عید الفطر کی نماز سے پہلے مل جول کر  رہنے  موضوع پر بڑے ہی صاف تفصیل انداز میں تقریر کی تھی۔	آج مولانا نے مل جل کر رہنے پر بڑی سی تقریر کی تھی
مولانا کی تقریر سن کر کئی لوگوں کی آنکھوں میں آنسوں آگئیں اور دل موم ہوگئے۔	تقریر سن کر کئی لوگوں کی آنکھوں میں آنسوں آگئیں اور دل موم ہوگئے
نماز کے بعد لوگ سالوں کے آپس کی جھگڑے کو بھول کر کھلے دل سے عید گاہ میں گلے مل رہے تھے۔	لوگ سالوں کے جگھڑے کو بھول کر کھلے دل سے  گلے مل رہے تھے۔
مجھ پر بھی اُن کی تقریر سے بہت زیادا اثر ہوا۔	میں بھی تقریر سے بہت زیادا اثر ہوا۔
میں نے مولانا کو اپنےساتھ لیا اور گھر کی طرف چل پڑا۔	میں مولانا کے ساتھ گھر کی طرف چل پڑا۔
ابھی ہم اُس گلی کے موڑ پر آئے تھے جہاں سے میرے گھر کا فاصلہ بہت قریب تھا۔	ابھی میرے گھر کے قریب گلی کے موڑ پر آئے تھے 
مولانا نے رُک کر کہا۔	مولانا نے رُک کر کہا۔
ہم دوسری گلی سے ہو کر آپ کے گھر چلتے ہیں،	ہم دوسری گلی سے چلتے ہیں
تمہیں تو پتہ ہی ہوگا	تمہیں تو پتہ ہی ہوگا
اس طرف میر ے بھائی کا  گھر ہے اور میں اس سے بات کرنا تو دور اُس کا چہرہ دیکھنا بھی پسند نہیں کرتا۔	اس طرف میر ے بھائی کا  گھر ہے ، میں اس سے بات کرنا پسند نہیں کرتا۔
سنیئے۔!	سنیئے۔!
جی	جی
میں آپ سے ایک بات کہنا چاہتی ہوں۔	میں ایک بات کہنا چاہتی ہوں۔
کہئے	کہئے
لیکن مجھے ڈر لگ رہا ہے۔	لیکن مجھے ڈر لگ رہا ہے۔
ڈر؟ کس بات کا ڈر؟	کس بات کا ڈر لگ رہا ہے۔
مجھ جیسے انسان سے ڈر	مجھ سے ڈر  کیسا۔
ارے میں تو تمہارے بڑے بھائی کی طرح ہوں۔	میں تو تمہارے بھائی کی طرح ہوں
کہو نا	کہو نا
نہیں اب میں وہ بات کبھی نہیں کہوں گی۔	اب میں وہ بات کبھی نہیں کہوں گی
آگ لگنے سے جب اسکی والدہ جل کر فوت ہو گئی۔	آگ لگنے سے جب اسکی والدہ فوت ہو گئی
تو وہ اپنی نانی کے پاس چلی گئی۔ اور وہاں رہنے لگی۔	تو وہ نانی کے پاس رہنے لگی۔
وہ تو ابھی بہت چھوٹی تھی۔	وہ تو ابھی بہت چھوٹی تھی
لیکن بوڑھی نانی اسکے تعلق سے پریشان تھی۔	لیکن نانی اسکے تعلق سے پریشان تھی
وہ اسکے لئے جہیز کا سامان اکٹھا کرنے میں ابھی سے مصروف ہو گئی تھی۔	وہ اسکے لئے جہیز اکٹھا کرنے میں صروف ہو گئی تھی
تاکہ آگ لگنے کا عمل اسکی نواسی کے ساتھ بھی نہ ہو سکئے۔	تاکہ آگ لگنے کا عمل اسکی نواسی کے ساتھ بھی نہ ہو جائے
اس نے چند روزپہلے ہی دوسرا نکاح کر لیا تھا۔	اس نے دوسرا نکاح کر لیا تھا۔
ایک دن جب اسکی بیٹی غزالہ کالج سے بارش میں بھیگتی ہوئی گھر آئی۔	ایک دن جب اسکی بیٹی غزالہ کالج گھر آئی
تو اس نے اپنے کپڑے  تبدیل کر کے امی کے نئے کپڑے پہننے چاہے۔	تو اس نے کپڑے  تبدیل کر کے امی کے نئے کپڑے پہننے چاہے۔
لیکن جب سوتیلی ماں کے کپڑے اسے چھوٹے ہو گئے۔	جب سوتیلی ماں کے کپڑے اسے چھوٹے ہو گئے
تو اسکے منہ سے بغیر سوچھے نکلا۔	تو اسکے منہ سے نکلا۔
امّی، تم مجھ سے کتنی چھوٹی ہو۔	امّی، تم مجھ سے کتنی چھوٹی ہو۔
چنٹو رو رہا تھا	چنٹو رو رہا تھا
شاید اُسے بھوک لگی تھی۔	شاید اُسے بھوک لگی تھی۔
میں نے اسکی امّی کو آواز دی۔	میں نے اسکی امّی کو آواز دی۔
چنٹو کو خاموش کراؤ میں نیوز نہیں سن پا رہا ہوں۔	چنٹو کو خاموش کراؤ میں شور کی وجہ نیوز نہیں سن پا رہا ہوں۔
اسکی امی آئی اور دور پڑے کھلونا کو اسکے ہاتھوں میں دیں کرچلی گئی۔	اسکی امی کھلونا کو اسے دیں کرچلی گئی۔
چنٹو اب خاموش ہو چکا تھا۔	چنٹو اب خاموش ہو چکا تھا۔
مجھے نیوز پڑھنے والے کی آواز صاف سنائی دے رہی تھی۔	مجھے نیوز  سنائی دے رہی تھی۔
وہ کہہ رہا تھا "اب ملک میں بہت جلد خوشحالی آئے گی۔	وہ کہہ رہا تھا ، اب ملک میں جلد خوشحالی آئے گی
کیونکہ تمام پارٹیوں نے کسانوں کو فصلوں کی اچھی قیمت ، بنیادی سہولت اور مفت تعلیم دینے کے وعدے کئے ہیں۔	کیونکہ تمام پارٹیوں نے کسانوں کو فصلوں کے اچھے قیمت ، بنیادی سہولت اور مفت تعلیم دینے کے وعدے کئے ہیں۔
دوسری خبر تھی	دوسری خبر تھی
الیکشن آفیسر نے کہا ہے الیکشن  چارمہینےبعد اکتوبر کے مہینے میں ہونے کے امید ہیں۔	الیکشن آفیسر نے کہا ہے الیکشن  اکتوبر کے مہینے میں ہونے کے  امید ہیں۔
چنٹو ہاتھ میں کھلونا پکڑے پھر رونے لگا تھا۔	چنٹو پھر رونے لگا تھا۔
شاید اُسے سچ مچ بھوک لگی تھی!	شاید اُسے سچ میں بھوک لگی تھی!
اسکے والد عرصہ سے ایک  خطرناک بیماری میں گرفتار تھے۔	اسکے والد کو ایک  خطرناک بیماری تھی-
کچھ روز پہلے ڈاکٹروں کی طرف سے ناامیدی ظاہر ہو جانے پر انھیں گھر لایا گیا تھا۔	ڈاکٹروں  سے ناامیدی ظاہر ہونے پر انھیں گھر لےآ یۓ تھے
مگر آج اُن کے نوجوان بیٹے کی آفس میں دل کی دھڑکن بند ہو جانے پر موت واقع ہو گئی۔	مگر آج اُن کے بیٹے کی آفس میں موت واقع ہو گئی
جو گھر سے اپنی والدہ سے آفس یہ کہہ کر گیا تھا۔	جو گھر سےآفس یہ کہہ کر نکلا گیا تھا
کہ مجھے ضروری کام سے دہلی جانا تھا۔	کہ مجھے کام سے دہلی جانا تھا
مگر والد صاحب کی طبیعت دیکھ کر ارادہ نہیں کر پا رہا ہوں۔	مگر والد کی طبیعت دیکھ کر ارادہ نہیں کر پا یا-
وہ تینوں بس اسٹاپ پر کھڑے آپس میں بات چیت کر رہے تھے۔	وہ تینوں آپس میں بات کر رہے تھے
 دیکھو راشد لڑکی نے ہوائی آلودگی سے بچنے کے لئے پورا دوپٹہ اپنے چہرے پر لیا ہوا ہے ۔	 دیکھو راشد لڑکی نے آلودگی سے بچنے کے لئے دوپٹہ چہرے پر لیا ہوا ہے ۔
نہیں ایسی بات نہیں ہے 	ایسی بات نہیں ہے 
دراصل  وہ لڑکی بڑی با حیا ہے اپنے چہرےکو دیکھانا پسند نہیں کرتی۔	وہ لڑکی بڑی با حیا ہے ، اپنے چہرےکو دیکھانا پسند نہیں کرتی۔
تیسرے نے کہا۔ سچ تو یہ ہے کہ وہ جس نوجوان کی اسکوٹر پر سوار ہے۔	تیسرے نے کہا۔کہ وہ جس کی اسکوٹر پر سوار ہے
وہ اسکا عاشق ہے اور محترمہ اپنے ماں باپ کا نام دوپٹہ میں چھپا رہی ہے۔	وہ اسکا عاشق ہے اور وہ ماں باپ کا نام چھپا رہی ہے
تاکہ اُن کی عزت پر کوئی سوال نہ آئے۔	تاکہ اُن کی عزت پر کوئی سوال نہ آئے
دُور بہت دُور اونچی پہاڑی پر بہت عرصہ سے کئی چراغ شام میں خود ہی روشن ہو کر رات دیر تک بھٹکے ہوئے مسافروں کو راستہ دکھاتے تھے۔	 بہت دُور بہت عرصہ سے کچھ چراغ شام میں خود ہی جل کررات کو مسافروں کو راستہ دکھاتے تھے۔
لیکن اُس دن چند لوگ شام کے وقت اُس پہاڑی پر چڑھ آئے اور چراغوں کے لئے لڑنے لگے۔	لیکن چند لوگ شام کے وقت اُس پہاڑی پر چراغوں کے لئے لڑنے لگے۔
پھر جب تیرے میرے چراغوں کی ضد حد سےبڑھ گئ ۔	پھر جب تیرے میرے چراغوں کی ضد حد سے بڑھ گئی
تو ایک تیز ہوا کا جھونکا آیا اور تمام چراغوں کو ہمیشہ ہمیشہ کے لئے بجھا کر چلا گیا۔	تو ایک ہوا کا جھونکا آیا اور تمام چراغوں کو بجھا کر چلا گیا۔
اب وہ ناکام خالی ہاتھ چوٹی سے نیچے اتر رہے تھے۔	اب وہ خالی ہاتھ نیچے اتر رہے تھے۔
وہ معلّمہ انگلش میڈیم سے پڑھ رہے اپنے خوبصورت بچوں کا ہمیشہ ذکر کرتے ہوئے کہتی۔	وہ معلّمہ اپنے بچوں کا ہمیشہ ذکر کرتے ہوئے کہتی
میں اپنے بچوں کو خوب پڑھاؤں گی۔ 	میں اپنے بچوں کو خوب پڑھاؤں گی۔ 
ان کے والد کی طرح ڈاکٹر بناؤں گی	ان کو ڈاکٹر بناؤں گی
اس نے اپنے بچوں کی پرورش اور دیکھ بھال میں کوئی کمی نہیں آنے دئ۔	اس نے اپنے بچوں کی پرورش میں کوئی کمی نہیں آنے دئ۔
دونوں بچوں کی تعلیم اور ان کے دیکھ بھال پر وہ خوب روپیہ خرچ کرتی تھی۔	دونوں بچوں پر وہ خوب روپیہ خرچ کرتی تھی۔
لیکن حالات نے اچانک رخ بدلا۔	لیکن حالات اچانک بدلے۔
معلّمہ کینسر جیسے خطرناک بیماری میں مبتلا ہو گئی اور ایک مہینےکے وقت میں ہی اس دنیا سے چل بسی۔	معلّمہ کینسر جیسے بیماری میں مبتلا ہو گئی ، ایک مہینےمیں ہی فوت ہو گئ
ماں کے رخصت ہو جانے پر معصوم بچے باپ کی نگرانی میں پلنے لگے۔	ماں کے جانے پر بچے باپ کی نگرانی میں پلنے لگے۔
ایک سال بعد باپ نے دوسری شادی کر لی۔	 باپ نے دوسری شادی کر لی۔
بچے انگلش اسکول سے اردو اسکول میں آ گئے اور پھر ایک دن وہ بے بس اور مجبور بچے اسکول کے کونے میں اس لائن میں کھڑے تھے۔	بچے انگلش اسکول سے اردو اسکول میں آ گئے ، پھر ایک دن وہ بچے اسکول میں اس لائن میں کھڑے تھے
جہاں زکوٰۃ کے پیسوں سے غریب حق دار بچوں کو اسکول یونیفارم تقسیم کئے جا رہے تھے۔	جہاں زکوٰۃ کے پیسوں سے غریب بچوں کو اسکول یونیفارم دیں رہے تھے۔
نماز و روزہ کی پابند ایک بوڑھی عورت نے چھ سالہ پڑوسی بچہ سے ایک دن پوچھا۔	نماز و روزہ کی پابند ایک بوڑھی عورت نے بچہ سے پوچھا۔
بیٹا تمہارے ابو جان نماز کے وقت میں کبھی مسجد جاتے دکھائی نہیں دیتے کیا تمہارے ابو گھر ہی میں نماز پڑھتے ہیں؟	بیٹا تمہارے ابو کبھی مسجد جاتے دکھائی نہیں دیتے کیا وہ گھر میں نماز پڑھتے ہیں
نہیں آنٹی میرے پاپا تو خوبصورت ہیں۔	آنٹی میرے پاپا تو خوبصورت ہیں
 وہ نماز کیوں پڑھنگے-	وہ نماز نہیں پرھتے ۔
نماز تو بوڑھے لوگ پڑھتے ہیں۔	نماز تو بوڑھے پڑھتے ہیں 
بچہ نے بڑی معصومیت سے کہا اور اپنا رُخ ٹی۔وی کی طرف کر کے ٹی۔ وی پر ڈانس کر رہی عورتوں کی طرح خود بھی ڈانس کرنے لگا۔	بچہ نے کہا اور  ٹی۔ وی پر ڈانس کر رہی عورتوں کی طرح خود بھی ڈانس کرنے لگا۔
ٹرین اپنی رفتار سے چل رہی تھی۔	ٹرین چل رہی تھی
میرے سامنے کی سیٹ پر بیٹھی عورت اپنے ساتھ بیٹھے شخص سے باتیں کرتے کرتے اسکے کاندھے پر سر رکھ کر سوگئی تھی۔	سامنے بیٹھی عورت نے ساتھ بیٹھے شخص کے کاندھے پر سر رکھ کر سوگئی تھی
ایک گھنٹہ بعد جب ٹرین کی رفتار کم ہوئی۔	جب ٹرین کی رفتار کم ہوئی
تو اُس نے اسکا سر اپنے کاندھے سے اٹھایا  اور پھر اُسے پیار دیتے ہوئے یہ کہتے ہوئے کھڑا ہو گیا۔	تو اُسے یہ کہتے ہوئے کھڑا ہو گیا۔
میں بھی مسافر۔ تم بھی مسافر۔ اب بھگوان (ہندوں کا رب) جانے کب ملاقات ہو۔	ہم دونوں مسافرہے اب رب جانے کب ملاقات ہو۔
اُس نے بھی اُسے خوشی سے خدا حافظ کیا۔	اُس نے اُسے خدا حافظ کیا۔
ٹرین پلیٹ فارم پر رک گئی۔	ٹرین روک گئی۔
وہ اترا اور بہت سے لوگوں میں گم ہو گیا۔	وہ اتر کر لوگوں میں گم ہو گیا۔
اور وہ ٹرین کے دروازے پر کھڑی پھر کسی نئے ہم سفر کا انتظار کرنے لگی۔	اور وہ نئے ہم سفر کا انتظار کرنے لگی۔
شاید وہ دس گیارہ سال کی بچی ہوگی۔	وہ دس گیارہ سال کی بچی ہوگی
اُس نے ہاتھ ہلا کر مجھ سے سواری مانگی میں نے گاڑی روک کر اُسے بٹھا لیا۔	اُس نےمجھ سے سواری مانگی میں نے اُسے گاڑی میں بٹھا لیا -
لیکن مجھے اسکا اسطرح سواری مانگنا اچھا نہیں لگا۔	لیکن مجھے اسکا سواری مانگنا اچھا نہیں لگا۔
میں نے پوچھا کہاں جانا چاہتی ہو "درپن نگر۔"	میں نے پوچھا کہاں جانا چاہتی ہو کہتی ہے"درپن نگر۔"
درپن نگر جانا ہی تھا تو بس کا انتظار کر لیتی۔	بس کا انتظار کر لیتی
بس سے جانے کے لئے پیسے چاہیے اور میرے پاس۔ وہ کہتے کہتے رک گئی۔	بس سے جانے کے لئے میرے پاس پیسے نہیں ہے 
اچھا۔۔ درپن نگر میں کہاں ڈراپ کروں۔؟	درپن نگر میں کہاں اتاروں۔
شراب خانے  کے پاس۔	شراب خانے کے پاس اتارو۔
کیا تم شراب خانے میں کام کرتی ہو؟	تم شراب خانے میں کام میں کرتی ہو
نہیں میں شراب خانے کے سامنے کھڑی کاریں صاف کرتی ہوں۔	میں کاریں صاف کرتی ہوں۔
کتنا مل جاتا ہے۔	کتنا مل جاتا ہے۔
یہی بیس پچیس روپئے۔	یہی بیس پچیس روپئے۔
لیکن مینجر نے کہا ہے تم جلدی بڑی ہو جاؤ۔	مینجر نے کہا ہے تم بڑی ہو جاؤ۔
میں تمہیں شراب خانے میں رکھ لوں گا۔	میں تمہیں شراب خانے میں رکھ لوں گا
تب مجھے تنخواہ بھی ملے گی اور ٹپس الگ۔	تب تنخواہ بھی ملے گی اور ٹپس الگ سے ملیں گی۔
آپ رب سے میرے لئے دعا کرو کہ میں جلدی بڑی ہو جاؤں۔	آپ دعا کرو کہ میں بڑی ہوجاؤں
میں نے کہا۔ہاں کیوں نہیں-	میں نے کہا کیوں نہیں-
تھوڑی دیر خاموشی کے بعد وہ خود ہی کہنے لگی۔	وہ خود ہی کہنے لگی۔
میری ترقی ہو جائے۔ پھر دیکھنا میں اپنے بوڑھے پتا جی کو کچھ نہیں کرنے دوں گی۔	میری ترقی ہو جائے تو میں اپنے باپ کو کچھ نہیں کرنے دوں گی۔
میں سوچنے لگا۔ یہ غریبی بھی کیسی مجبوری ہے جہاں بچے اپنا قیمتی بچپن بے چینی سے جوانی کے انتظار میں گزارتے ہیں۔	میں سوچنے لگا کہ غریب بچیں کیسے اپنا بچپن جوانی کے انتظار میں گزارتے ہیں۔
درپن نگر کا شراب خانہ آیا	شراب خانہ آیا
تو میں نے دیکھا میری اسکوٹی سے اتر کر شراب خانہ جاتی ہوئی وہ دس گیارہ سال کی چھوٹی سی بچی مجھے یوں بھی بہت بڑی  لگ رہی تھی۔	وہ چھوٹی سی بچی مجھے بہت بڑی معلوم ہو رہی تھی۔
کل صائمہ خالہ کے بڑے بیٹھے کی شادی ہوئی تھی۔	صائمہ خالہ کے بڑے بیٹھے کی شادی ہوئی تھی۔
صائمہ خالہ مہمان  کی خدمت  میں مصروف تھیں۔	صائمہ خالہ مہمان کی خدمت میں مصروف تھیں۔
اتنے میں کسی خاتون نے کہا۔	 کسی نے کہا۔
صائمہ خالہ خدمات تو شام میں بھی ہوتی رہے گی۔	صائمہ خالہ خدمات تو ہوتی رہے گی
ابھی تو ہم بڑی بہو کا جہیز دیکھنے آئے ہیں۔	ابھی تو ہم جہیز دیکھنے آئے ہیں۔
خالہ نے کہا۔ ٹھیک ہے۔	خالہ نے کہا۔ ٹھیک ہے۔
اﷲ کا کرم ہے۔	اﷲ کا کرم ہے
کہ مجھے جہیز میں سب کچھ مل گیا ہے۔	کہ مجھے جہیز میں سب مل گیا ہے۔
دلہن کے کمرے میں آؤ میں تمہیں جہیز دکھاتی ہوں۔	آؤ میں تمہیں جہیز دکھاتی ہوں۔
پھر انھوں نے دلہن کا چہرا دیکھایا اور کہا۔	 انھوں نے دلہن کو دیکھایا اور کہا۔
دیکھو یہ ہے میرا اصل جہیز	یہ میرا اصل جہیز ہے
وہ امیر شہری تھا۔	وہ امیرتھا
اُس نے اپنی پوری زندگی دولت جمع کرنے میں لگا دی۔	اُس نے پوری زندگی دولت جمع کیی۔
شہر میں اسکی کئی اونچی عمارتیں تھیں۔	 اسکی کئی عمارتیں تھیں۔
لاکھوں روپیہ بینک میں تھا۔	لاکھوں روپیہ بینک میں تھا۔
وہ کہتا تھا دنیا میں دولت ہی سب کچھ ہے۔	وہ کہتا ہے دولت سب کچھ ہے
لیکن جب اُسے خطرناک بیماری ہوئی اور ڈاکٹر وں نے جواب دے دیا۔	جب اُسے خطرناک بیماری ہونے پر ڈاکٹر وں نے جواب دے دیا
تو وہ امیر شخص بہت مجبور اور بے بس پلنگ پر پڑا اپنے بیٹے سے کہہ رہا تھا۔	وہ امیر شخص مجبور پڑا اپنے بیٹے سے کہہ رہا تھا۔
بیٹا اس دنیا میں آرام و آسائش کے ساتھ گزارنے کے لئے میں نے بہت دولت جمع کی۔	بیٹا میں نے بہت دولت جمع کی
لیکن آج مجھے زندہ رکھنے کے لئے یہ دولت بھی کام نہ آئی اور اب جہاں مجھے ہمیشہ ہمیشہ کے لئے رہنا ہے وہاں کے لئے میں نے کچھ نہ کیا۔	لیکن آج مجھے یہ دولت بھی کام نہ آئی ، اس دنیا کے لئے میں نے کچھ نہ کیا۔
بیٹا۔ آج میرے پاس دولت کی ڈھیر ہے۔	آج میرے پاس دولت کی ڈھیر ہے
لیکن اسکے باوجود میں زندہ نہیں رہ سکتا۔	لیکن اسکے باوجود میں زندہ نہیں رہ سکتا۔
میں کتنا بے بس اور غریب ہوگیا ہوں۔	میں کتنا غریب ہوگیا ہوں
کہ جا رہا ہوں تو میرا سیدھا ہاتھ خالی ہے۔	 میں خالی ہاتھ جا رہا ہوں
اےخدا میری غربت پر رحم فرما-	اےخدا میری غربت پر رحم فرما
اُس کا رشتہ طے ہونے کے بعد لڑکے کے گھر والوں نے جہیز میں قیمتی چیزوں کی خواھش شروع کر دی تھی۔	رشتہ طے ہوتے ہی لڑکے کے گھر والوں نے قیمتی چیزوں کی خواھش شروع کر دی تھی
لڑکے کی خواھش تھی کہ اُسے جہیز میں رنگین ٹی وی اور بائک بھی ملے۔	لڑکے کو جہیز میں رنگین ٹی وی اور بائک چاہیں تھی۔
اسکے والد نوکری پوری کرچکے تھے۔	اسکے والد نوکری پوری کرچکے تھے۔
نوکری پوری کرنے کے بعد جو بھی روپیہ ہاتھ آیا تھا۔	نوکری سےجو بھی روپیہ ہاتھ آیا تھا
اُن روپیوں سے اسکی تین بہنوں کی شادی کرنی تھی۔	اُن روپیوں سے اسکی تین بہنوں کے شادی کرنی تھی
لیکن چونکہ رشتہ طے ہو چکا تھا۔	رشتہ طے ہو چکا تھا۔
کاڈز تقسیم ہو چکے تھے۔	کاڈز تقسیم ہو چکے تھے
لہذا اسکے والد نے لڑکے اور اسکے والدین کی خواہشوں کو پورا کرنے میں کوئی کمی نہ چھوڑی۔	اسکے والد نے جہیز کے سارے خواہشوں کو پورا کرنے میں کمی نہ چھوڑی۔
شادی کے دوسرے دن اُس نے اپنے شوہر کے کمرے کا جائزہ لیا۔	شادی کے بعد اُس نے جب شوہر کے کمرے کا جائزہ لیا
تو اُسے بہت سے انعامات الماریوں میں رکھے نظر آئے۔	تو اُسے کے انعامات الماریوں میں رکھے نظر آئے۔
اسکے شوہر نے اُسے بتایا کہ یہ سب انعامات اُسے مختلف مقابلوں میں بڑا مقام حاصل کرنے پر ملے ہیں۔	شوہر نے بتایا کہ یہ انعامات اُسے ملے ہیں۔
اُس نے ایک شیلڈ کی طرف اشارہ کرتے ہوئے کہا دیکھو یہ شِلڈ مجھے مضمون لکھای کے مقابلہ میں اوّل مقام حاصل کرنے پر ملی ہے۔"	اُس نے ایک انعام کا  بتایا کہ یہ مضمون لکھای کے مقابلہ میں اوّل مقام حاصل کرنے پر ملی ہے- 
اُس نے پوچھا۔ مضمون کا عنوان آپ کو یاد ہے۔	اُس نے پوچھا کہ مضمون کا عنوان یاد ہے۔
شوہر نے کہا۔جی ہاں۔ آج کے دور کا  مسئلہ جہیز ایک معاشرتی لعنت ہے۔	شوہر نے کہا آج کے دور کا  مسئلہ ایک بڑا جہیز  ہے۔
میرے دوست۔۔ آج اُس لڑکی کا انتقال ہوا جسے باون سال پہلے میں نے راستے میں دیکھا تھا۔	آج اُس لڑکی کا انتقال ہوا جسے باون سال پہلے دیکھا تھا
اُسے دیکھ کر میرے دل میں یہ خیال آیا تھا۔	اُسے دیکھ کر خیال آیا تھا
کہ کاش یہ خوبصورت لڑکی میری بیوی بن جائے۔	کہ کاش یہ میری بیوی بن جائے
اسی وقت میں نے آسمان کی طرف نظریں اٹھا کر اﷲ تعالیٰ سے اُس لڑکی کو اپنے لئے مانگا۔	میں نے اﷲ تعالیٰ سے اُس لڑکی کو مانگا
وہ بڑی بے تکلف تھی میرے دل کے گہرائی میں چپ چاپ چلی آئی۔	وہ میرے دل میں چلی آئی
لیکن میں نے یہ بات چھپائے رکھی۔	میں نے یہ بات چھپائے رکھی۔
میں اس بات کا اظہار کرتا بھی کیسے والدین کی مرضی عزیز تھی۔	میرے لیے والدین کی مرضی عزیز تھی۔
دو سال بعد والدین نے میرے لئے لڑکی تلاش کرنے کا سلسلہ شروع کیا اور پھر اپنی مرضی اور خواہش کے مطابق میرے لئے لڑکی پسند کیی۔	دو سال بعد والدین نےاپنی مرضی سے میرے لئے لڑکی پسند کی
پھر وہ وقت بھی آگیا جس دن میری شادی ہوئی تھی۔	پھر میری شادی ہوگئی- 
شادی ہو جانے کے بعد جیسے ہی میری نظر اس پر پڑی میری حیرت کی انتہا نہ رہی اور میں بہت جذباتی ہو گیا۔	جیسے ہی میری نظر اس پر پڑی  میں بہت حیران اور جذباتی ہو گیا۔
اور خوشی و مسرت کے جذبات میں بے ساختہ چلّایا "تم وہی ہو تم وہی ہو۔	اور میں خوشی سے چلّایا تم وہی ہو تم وہی ہو
وہ سارے مذاہب کی کتابوں کا مطالعہ کرنے کے بعد دامن اسلام میں داخل ہوا تھا اور دین حکم  کے بلکل مطابق اپنی نئی زندگی پھر سے شروع کر چکا تھا۔	وہ اسلام میں داخل ہوا اور دین حکم کے مطابق زندگی پھر سے شروع کیی۔
ایک دن قریب پڑوس کے چند لوگوں نے اس سے کہا اب تمہیں شادی کر لینی چاہیے۔	لوگوں نے اس سے کہا تمہیں شادی کر لینی چاہیے۔
ہم نے ایک لڑکی دیکھی ہے۔	ہم نے ایک لڑکی دیکھی ہے
وہ لوگ تعلیم یافتہ اور خاندانی مسلمان ہیں۔	وہ لوگ تعلیم یافتہ اور خاندانی مسلمان ہیں۔
دوسرے دن وہ اُن لوگوں کے ساتھ ایک بڑے سے مکان میں داخل ہوا۔	 دوسرے دن  وہ لوگوں کے ساتھ ایک مکان میں داخل ہوا۔
اُسنے چاروں طرف دیکھا۔	اُسنے چاروں طرف دیکھا
اُسے ہر طرف انگریز معاشرے کی جھلکیاں دکھائی دیں۔	 ہر طرف انگریز معاشرے دکھائی دیں۔
ساتھ کمرے سے ڈانس میوزک کی آواز آ رہی تھی۔	کمرے سے میوزک کی آواز آ رہی تھی
والدہ نے اپنی لڑکی کو آواز دی۔	والدہ نے اپنی لڑکی کو آواز دی۔
تھوڑی دیر بعد میوزک بند ہو گئی اور لڑکی چھوٹے  کپڑے پہنے کمرے سے باہر نکل آئی۔	 میوزک بند ہو گئی اور لڑکی چھوٹے  کپڑے پہنے باہر نکل آئی۔
